Date,Cases,Mean Temp (°C),Humidity,DoW
2014-09-01, 13,21.0,90,2
2014-09-02, 16,23.0,85	,3
2014-09-03, 8,19.8,74,4
2014-09-04, 9,20.5,81,5
2014-09-05, 5,24.3,78	,6
2014-09-06, 6,20.8,77	,0
2014-09-07, 6,16.3,70,1
2014-09-08, 7,16.8,68,2
2014-09-09, 10,18.3,65,3
2014-09-10, 11,19.0,80,4
2014-09-11, 7,18.3,67,5
2014-09-12, 10,9.8,57,6
2014-09-13, 5,8.0,95,0
2014-09-14, 9,8.3,69,1
2014-09-15, 9,13.5,67	,2
2014-09-16, 14,14.3,74	,3
2014-09-17, 6,12.5,65	,4
2014-09-18, 9,9.5,65,5
2014-09-19, 6,8.3,48,6
2014-09-20, 7,14.0,77	,0
2014-09-21, 13,19.8,84,1
2014-09-22, 9,10.3,57,2
2014-09-23, 8,10.5,82,3
2014-09-24, 7,14.8,72	,4
2014-09-25, 9,17.3,75,5
2014-09-26, 10,17.8,68,6
2014-09-27, 6,18.0,76,0
2014-09-28, 10,18.3,84	,1
2014-09-29, 10,18.3,77,2
2014-09-30, 13,13.5,73,3
2014-10-01, 10,14.5,83,4
2014-10-02, 14,16.0,75	,5
2014-10-03, 3,16.5,70,6
2014-10-04, 8,13.5,77,0
2014-10-05, 9,8.0,89	,1
2014-10-06, 5,10.5,74,2
2014-10-07, 9,15.5,68	,3
2014-10-08, 16,13.0,64	,4
2014-10-09, 9,8.3,55,5
2014-10-10, 8,7.3,59,6
2014-10-11, 5,9.3,48	,0
2014-10-12, 10,7.0,58,1
2014-10-13, 3,10.0,79	,2
2014-10-14, 6,19.3,80,3
2014-10-15, 9,18.5,96	,4
2014-10-16, 7,17.0,97	,5
2014-10-17, 10,13.0,95,6
2014-10-18, 4,10.3,87,0
2014-10-19, 11,3.8,53,1
2014-10-20, 12,4.8,83,2
2014-10-21, 10,7.8,94	,3
2014-10-22, 5,8.3,63	,4
2014-10-23, 7,10.0,59,5
2014-10-24, 8,11.3,53	,6
2014-10-25, 5,10.5,80,0
2014-10-26, 8,8.8,63,1
2014-10-27, 6,8.0,65,2
2014-10-28, 9,12.3,79,3
2014-10-29, 9,11.3,60,4
2014-10-30, 5,5.5,68,5
2014-10-31, 8,4.3,67,6
2014-11-01, 5,3.0,67,0
2014-11-02, 10,2.5,37	,1
2014-11-03, 9,5.0,61,2
2014-11-04, 6,10.8,67,3
2014-11-05, 16,8.0,64,4
2014-11-06, 9,5.3,65,5
2014-11-07, 7,1.8,74,6
2014-11-08, 9,1.3,64,0
2014-11-09, 9,3.8,58,1
2014-11-10, 15,6.3,67,2
2014-11-11, 17,8.5,65,3
2014-11-12, 11,5.5,66,4
2014-11-13, 7,0.8,50,5
2014-11-14, 1,-2.0,54,6
2014-11-15, 6,-2.5,55	,0
2014-11-16, 9,-0.3,68,1
2014-11-17, 10,0.3,98	,2
2014-11-18, 8,-5.8,70,3
2014-11-19, 9,-5.3,68,4
2014-11-20, 6,-3.3,56	,5
2014-11-21, 6,-7.8,53,6
2014-11-22, 8,-2.0,57,0
2014-11-23, 7,6.8,89,1
2014-11-24, 16,10.5,80,2
2014-11-25, 7,3.5,86,3
2014-11-26, 6,-1.0,59,4
2014-11-27, 5,-3.3,67,5
2014-11-28, 7,-6.0,67,6
2014-11-29, 7,-0.3,68,0
2014-11-30, 9,4.3,79,1
2014-12-01, 6,0.8,60,2
2014-12-02, 8,-5.3,56,3
2014-12-03, 5,-1.8,87,4
2014-12-04, 7,-4.5,52,5
2014-12-05, 6,-3.8,74,6
2014-12-06, 5,0.0,86,0
2014-12-07, 10,-8.0,40,1
2014-12-08, 3,-5.5,64	,2
2014-12-09, 6,1.0,73,3
2014-12-10, 9,-2.8,87,4
2014-12-11, 6,-3.5,81,5
2014-12-12, 10,-4.0,80,6
2014-12-13, 14,-3.5,77,0
2014-12-14, 5,0.5,91,1
2014-12-15, 12,0.8,86,2
2014-12-16, 6,2.0,92,3
2014-12-17, 6,2.5,95,4
2014-12-18, 12,-2.3,77,5
2014-12-19, 7,-5.5,70,6
2014-12-20, 21,-7.5,67,0
2014-12-21, 9,-6.0,78,1
2014-12-22, 15,-5.8,89	,2
2014-12-23, 12,1.3,97,3
2014-12-24, 8,6.8,95,4
2014-12-25, 5,4.5,78,5
2014-12-26, 12,4.0,72,6
2014-12-27, 9,5.0,91,0
2014-12-28, 8,1.8,65,1
2014-12-29, 14,-3.8,47,2
2014-12-30, 9,-10.5,41,3
2014-12-31, 5,-8.8,54,4
2015-01-01, 14,-6.0,88,5
2015-01-02, 11,-6.0,54,6
2015-01-03, 13,-8.0,72	,0
2015-01-04, 7,-0.8,100,1
2015-01-05, 9,-12.5,46,2
2015-01-06, 7,-11.8,78	,3
2015-01-07, 6,-19.3,53,4
2015-01-08, 7,-16.8,72,5
2015-01-09, 10,-8.0,59,6
2015-01-10, 8,-12.3,55,0
2015-01-11, 6,-7.5,58,1
2015-01-12, 8,-2.8,93,2
2015-01-13, 6,-20.0,55,3
2015-01-14, 6,-17.3,68,4
2015-01-15, 15,-14.0,82,5
2015-01-16, 9,-8.8,51,6
2015-01-17, 6,-12.0,68,0
2015-01-18, 6,-4.3,82,1
2015-01-19, 17,-3.0,70,2
2015-01-20, 13,-13.8,58,3
2015-01-21, 8,-13.3,66,4
2015-01-22, 6,-10.3,67,5
2015-01-23, 10,-5.5,74,6
2015-01-24, 7,-3.0,81,0
2015-01-25, 12,-12.0,51,1
2015-01-26, 10,-15.3,54,2
2015-01-27, 8,-12.5,47,3
2015-01-28, 10,-10.3,31,4
2015-01-29, 5,-7.3,66,5
2015-01-30, 10,-10.8,63,6
2015-01-31, 9,-19.0,57,0
2015-02-01, 7,-16.0,51,1
2015-02-02, 5,-17.3,74,2
2015-02-03, 7,-15.8,82,3
2015-02-04, 7,-5.3,90,4
2015-02-05, 9,-15.3,59	,5
2015-02-06, 8,-12.0,68,6
2015-02-07, 8,-10.8,80,0
2015-02-08, 6,-14.0,83	,1
2015-02-09, 13,-13.3,80,2
2015-02-10, 13,-8.8,77,3
2015-02-11, 10,-10.0,82,4
2015-02-12, 9,-11.0,71,5
2015-02-13, 7,-19.0,58,6
2015-02-14, 8,-13.0,89,0
2015-02-15, 14,-9.5,52,1
2015-02-16, 16,-20.8,50,2
2015-02-17, 8,-17.0,58,3
2015-02-18, 10,-11.3,83,4
2015-02-19, 12,-15.3,53,5
2015-02-20, 9,-18.0,54	,6
2015-02-21, 8,-13.8,68,0
2015-02-22, 10,-7.3,68,1
2015-02-23, 8,-18.8,40,2
2015-02-24, 12,-14.3,74,3
2015-02-25, 7,-10.0,58,4
2015-02-26, 7,-17.5,44,5
2015-02-27, 10,-17.8,48,6
2015-02-28, 11,-13.0,73,0
2015-03-01, 13,-10.0,85,1
2015-03-02, 9,-5.3,58	,2
2015-03-03, 4,-9.3,80,3
2015-03-04, 12,-1.8,56	,4
2015-03-05, 6,-11.5,47,5
2015-03-06, 9,-13.8,80,6
2015-03-07, 11,-6.5,80,0
2015-03-08, 6,-4.8,67,1
2015-03-09, 12,0.0,66,2
2015-03-10, 9,2.3,66,3
2015-03-11, 7,5.5,66,4
2015-03-12, 7,-1.3,37,5
2015-03-13, 10,-2.3,39,6
2015-03-14, 22,0.8,95	,0
2015-03-15, 6,1.0,73,1
2015-03-16, 9,0.0,88,2
2015-03-17, 9,1.0,50,3
2015-03-18, 6,-5.8,38,4
2015-03-19, 10,-6.5,27,5
2015-03-20, 9,-3.0,65,6
2015-03-21, 8,1.5,97	,0
2015-03-22, 9,-9.8,42,1
2015-03-23, 13,-10.0,40,2
2015-03-24, 5,-6.5,69,3
2015-03-25, 4,-1.5,48,4
2015-03-26, 7,2.0,97,5
2015-03-27, 16,-3.0,78,6
2015-03-28, 8,-7.3,37,0
2015-03-29, 8,-3.5,62,1
2015-03-30, 16,2.0,68,2
2015-03-31, 10,-0.5,57,3
2015-04-01, 8,-1.5,30,4
2015-04-02, 13,5.0,67,5
2015-04-03, 8,8.3,98,6
2015-04-04, 12,1.3,42,0
2015-04-05, 7,0.0,49,1
2015-04-06, 4,-0.3,91,2
